iter	Passed	Remaining
0	171	171439
1	181	90556
2	193	64350
3	212	52950
4	232	46336
5	240	39896
6	245	34851
7	249	30998
8	254	28034
9	257	25509
10	260	23454
11	263	21690
12	266	20270
13	269	18988
14	271	17857
15	274	16854
16	276	15971
17	278	15195
18	280	14496
19	284	13930
20	286	13351
21	288	12826
22	290	12345
23	292	11900
24	294	11495
25	297	11150
26	300	10823
27	302	10501
28	304	10198
29	306	9914
30	308	9649
31	310	9404
32	313	9199
33	316	8983
34	318	8776
35	320	8578
36	322	8394
37	324	8226
38	327	8060
39	330	7926
40	332	7777
41	334	7632
42	336	7492
43	338	7358
44	340	7234
45	343	7118
46	346	7020
47	348	6910
48	350	6801
49	352	6696
50	354	6599
51	357	6508
52	360	6442
53	362	6357
54	364	6271
55	367	6188
56	369	6109
57	371	6033
58	373	5960
59	376	5900
60	378	5831
61	381	5765
62	383	5710
63	387	5668
64	391	5633
65	394	5576
66	396	5519
67	398	5466
68	401	5415
69	403	5361
70	406	5318
71	408	5268
72	410	5218
73	413	5171
74	415	5125
75	417	5079
76	419	5033
77	422	4997
78	424	4953
79	426	4908
80	428	4865
81	430	4822
82	432	4781
83	434	4742
84	437	4712
85	439	4675
86	442	4639
87	444	4602
88	446	4566
89	448	4532
90	450	4497
91	453	4473
92	455	4441
93	457	4408
94	459	4376
95	461	4344
96	463	4314
97	465	4284
98	468	4262
99	470	4237
100	472	4208
101	474	4180
102	476	4152
103	478	4126
104	480	4099
105	483	4080
106	486	4057
107	488	4032
108	490	4007
109	492	3982
110	494	3957
111	496	3934
112	499	3918
113	501	3897
114	503	3874
115	505	3852
116	507	3831
117	509	3809
118	511	3788
119	514	3772
120	517	3758
121	519	3738
122	521	3718
123	523	3698
124	525	3678
125	527	3659
126	530	3649
127	533	3631
128	535	3613
129	537	3594
130	539	3577
131	541	3559
132	543	3541
133	546	3529
134	548	3513
135	550	3496
136	552	3478
137	554	3462
138	556	3445
139	558	3430
140	561	3417
141	563	3406
142	566	3392
143	568	3377
144	570	3361
145	572	3347
146	574	3335
147	577	3323
148	579	3308
149	581	3293
150	583	3278
151	585	3264
152	587	3250
153	589	3240
154	592	3230
155	594	3217
156	596	3203
157	598	3189
158	600	3176
159	602	3163
160	604	3151
161	607	3141
162	609	3130
163	611	3118
164	613	3105
165	615	3092
166	617	3080
167	619	3069
168	622	3059
169	624	3050
170	626	3038
171	628	3026
172	630	3015
173	632	3004
174	634	2992
175	636	2982
176	639	2974
177	641	2963
178	643	2952
179	645	2941
180	647	2930
181	649	2919
182	651	2909
183	654	2903
184	656	2893
185	658	2882
186	660	2872
187	662	2862
188	664	2852
189	666	2842
190	669	2835
191	671	2827
192	673	2817
193	675	2808
194	677	2798
195	679	2789
196	681	2779
197	684	2772
198	686	2765
199	688	2755
200	691	2746
201	692	2737
202	694	2728
203	696	2719
204	699	2711
205	701	2705
206	703	2696
207	705	2687
208	707	2679
209	709	2670
210	711	2661
211	713	2653
212	716	2648
213	718	2640
214	720	2632
215	722	2624
216	724	2615
217	727	2608
218	729	2600
219	732	2595
220	734	2588
221	736	2580
222	738	2572
223	740	2564
224	742	2556
225	744	2548
226	746	2542
227	748	2535
228	750	2527
229	752	2520
230	754	2512
231	756	2505
232	758	2497
233	760	2490
234	764	2489
235	767	2484
236	769	2477
237	771	2470
238	773	2463
239	775	2455
240	778	2452
241	780	2446
242	782	2439
243	784	2432
244	786	2424
245	788	2418
246	790	2411
247	794	2407
248	796	2401
249	798	2394
250	799	2387
251	801	2380
252	804	2374
253	806	2367
254	808	2363
255	811	2357
256	813	2350
257	815	2343
258	817	2337
259	819	2331
260	821	2324
261	823	2319
262	825	2314
263	827	2308
264	829	2301
265	831	2295
266	833	2288
267	835	2283
268	838	2277
269	840	2273
270	842	2267
271	844	2261
272	846	2255
273	848	2248
274	851	2244
275	853	2238
276	855	2233
277	857	2227
278	859	2221
279	861	2215
280	863	2210
281	866	2204
282	876	2220
283	887	2237
284	896	2249
285	903	2255
286	908	2256
287	912	2256
288	917	2256
289	920	2254
290	923	2250
291	926	2246
292	929	2243
293	932	2239
294	935	2235
295	938	2231
296	940	2226
297	942	2220
298	945	2216
299	947	2211
300	949	2205
301	952	2200
302	954	2194
303	956	2188
304	958	2183
305	960	2177
306	962	2172
307	964	2167
308	966	2161
309	968	2156
310	970	2150
311	972	2145
312	974	2139
313	978	2136
